omitted_review_row_index	remaining_clusters	scope	target	metric	reviewed_model_assessments	positive_model_assessments	auc	best_threshold	best_f1	precision	recall	true_positive	false_positive	false_negative
12	29	overall	human_decision_change_yes_or_uncertain	cer	87	16	0.7232	16.42	0.4667	0.3182	0.875	14	30	2
12	29	overall	human_decision_change_yes_or_uncertain	sres_total	87	16	0.9071	270.0	0.6667	0.5385	0.875	14	12	2
12	29	overall	human_decision_change_yes_or_uncertain	ceis_max	87	16	0.9129	5.0	0.64	0.4706	1.0	16	18	0
13	29	overall	human_decision_change_yes	wer	87	15	0.7125	42.59	0.4737	0.3913	0.6	9	14	6
13	29	overall	human_decision_change_yes	cer	87	15	0.731	31.4	0.4444	0.381	0.5333	8	13	7
13	29	overall	human_decision_change_yes	sres_total	87	15	0.8912	270.0	0.6341	0.5	0.8667	13	13	2
13	29	overall	human_decision_change_yes	ceis_max	87	15	0.912	5.0	0.6122	0.4412	1.0	15	19	0
13	29	overall	human_decision_change_yes_or_uncertain	wer	87	15	0.7125	42.59	0.4737	0.3913	0.6	9	14	6
13	29	overall	human_decision_change_yes_or_uncertain	cer	87	15	0.731	31.4	0.4444	0.381	0.5333	8	13	7
13	29	overall	human_decision_change_yes_or_uncertain	sres_total	87	15	0.8912	270.0	0.6341	0.5	0.8667	13	13	2
13	29	overall	human_decision_change_yes_or_uncertain	ceis_max	87	15	0.912	5.0	0.6122	0.4412	1.0	15	19	0
14	29	overall	human_decision_change_yes	wer	87	16	0.695	42.59	0.4615	0.3913	0.5625	9	14	7
14	29	overall	human_decision_change_yes	cer	87	16	0.7232	16.42	0.459	0.3111	0.875	14	31	2
14	29	overall	human_decision_change_yes	sres_total	87	16	0.9036	270.0	0.6667	0.5385	0.875	14	12	2
14	29	overall	human_decision_change_yes	ceis_max	87	16	0.9129	5.0	0.64	0.4706	1.0	16	18	0
14	29	overall	human_decision_change_yes_or_uncertain	wer	87	16	0.695	42.59	0.4615	0.3913	0.5625	9	14	7
14	29	overall	human_decision_change_yes_or_uncertain	cer	87	16	0.7232	16.42	0.459	0.3111	0.875	14	31	2
14	29	overall	human_decision_change_yes_or_uncertain	sres_total	87	16	0.9036	270.0	0.6667	0.5385	0.875	14	12	2
14	29	overall	human_decision_change_yes_or_uncertain	ceis_max	87	16	0.9129	5.0	0.64	0.4706	1.0	16	18	0
15	29	overall	human_decision_change_yes	wer	87	16	0.6928	42.59	0.4615	0.3913	0.5625	9	14	7
15	29	overall	human_decision_change_yes	cer	87	16	0.7232	16.42	0.459	0.3111	0.875	14	31	2
15	29	overall	human_decision_change_yes	sres_total	87	16	0.9036	270.0	0.6667	0.5385	0.875	14	12	2
15	29	overall	human_decision_change_yes	ceis_max	87	16	0.9129	5.0	0.64	0.4706	1.0	16	18	0
15	29	overall	human_decision_change_yes_or_uncertain	wer	87	16	0.6928	42.59	0.4615	0.3913	0.5625	9	14	7
15	29	overall	human_decision_change_yes_or_uncertain	cer	87	16	0.7232	16.42	0.459	0.3111	0.875	14	31	2
15	29	overall	human_decision_change_yes_or_uncertain	sres_total	87	16	0.9036	270.0	0.6667	0.5385	0.875	14	12	2
15	29	overall	human_decision_change_yes_or_uncertain	ceis_max	87	16	0.9129	5.0	0.64	0.4706	1.0	16	18	0
16	29	overall	human_decision_change_yes	wer	87	15	0.6819	42.59	0.4324	0.3636	0.5333	8	14	7
16	29	overall	human_decision_change_yes	cer	87	15	0.7199	16.42	0.4407	0.2955	0.8667	13	31	2
16	29	overall	human_decision_change_yes	sres_total	87	15	0.8995	270.0	0.6341	0.5	0.8667	13	13	2
16	29	overall	human_decision_change_yes	ceis_max	87	15	0.912	5.0	0.6122	0.4412	1.0	15	19	0
16	29	overall	human_decision_change_yes_or_uncertain	wer	87	15	0.6819	42.59	0.4324	0.3636	0.5333	8	14	7
16	29	overall	human_decision_change_yes_or_uncertain	cer	87	15	0.7199	16.42	0.4407	0.2955	0.8667	13	31	2
16	29	overall	human_decision_change_yes_or_uncertain	sres_total	87	15	0.8995	270.0	0.6341	0.5	0.8667	13	13	2
16	29	overall	human_decision_change_yes_or_uncertain	ceis_max	87	15	0.912	5.0	0.6122	0.4412	1.0	15	19	0
17	29	overall	human_decision_change_yes	wer	87	14	0.681	42.59	0.4444	0.3636	0.5714	8	14	6
17	29	overall	human_decision_change_yes	cer	87	14	0.7304	31.4	0.4571	0.381	0.5714	8	13	6
17	29	overall	human_decision_change_yes	sres_total	87	14	0.9041	270.0	0.6154	0.48	0.8571	12	13	2
17	29	overall	human_decision_change_yes	ceis_max	87	14	0.9163	5.0	0.5957	0.4242	1.0	14	19	0
17	29	overall	human_decision_change_yes_or_uncertain	wer	87	14	0.681	42.59	0.4444	0.3636	0.5714	8	14	6
17	29	overall	human_decision_change_yes_or_uncertain	cer	87	14	0.7304	31.4	0.4571	0.381	0.5714	8	13	6
17	29	overall	human_decision_change_yes_or_uncertain	sres_total	87	14	0.9041	270.0	0.6154	0.48	0.8571	12	13	2
17	29	overall	human_decision_change_yes_or_uncertain	ceis_max	87	14	0.9163	5.0	0.5957	0.4242	1.0	14	19	0
18	29	overall	human_decision_change_yes	wer	87	16	0.7091	42.59	0.4865	0.4286	0.5625	9	12	7
18	29	overall	human_decision_change_yes	cer	87	16	0.7434	16.42	0.4746	0.3256	0.875	14	29	2
18	29	overall	human_decision_change_yes	sres_total	87	16	0.9085	270.0	0.7	0.5833	0.875	14	10	2
18	29	overall	human_decision_change_yes	ceis_max	87	16	0.9225	5.0	0.6667	0.5	1.0	16	16	0
18	29	overall	human_decision_change_yes_or_uncertain	wer	87	16	0.7091	42.59	0.4865	0.4286	0.5625	9	12	7
18	29	overall	human_decision_change_yes_or_uncertain	cer	87	16	0.7434	16.42	0.4746	0.3256	0.875	14	29	2
18	29	overall	human_decision_change_yes_or_uncertain	sres_total	87	16	0.9085	270.0	0.7	0.5833	0.875	14	10	2
18	29	overall	human_decision_change_yes_or_uncertain	ceis_max	87	16	0.9225	5.0	0.6667	0.5	1.0	16	16	0
19	29	overall	human_decision_change_yes	wer	87	16	0.695	42.59	0.4737	0.4091	0.5625	9	13	7
19	29	overall	human_decision_change_yes	cer	87	16	0.732	16.42	0.4667	0.3182	0.875	14	30	2
19	29	overall	human_decision_change_yes	sres_total	87	16	0.897	210.0	0.6531	0.4848	1.0	16	17	0
19	29	overall	human_decision_change_yes	ceis_max	87	16	0.9177	5.0	0.6531	0.4848	1.0	16	17	0
19	29	overall	human_decision_change_yes_or_uncertain	wer	87	16	0.695	42.59	0.4737	0.4091	0.5625	9	13	7
19	29	overall	human_decision_change_yes_or_uncertain	cer	87	16	0.732	16.42	0.4667	0.3182	0.875	14	30	2
19	29	overall	human_decision_change_yes_or_uncertain	sres_total	87	16	0.897	210.0	0.6531	0.4848	1.0	16	17	0
19	29	overall	human_decision_change_yes_or_uncertain	ceis_max	87	16	0.9177	5.0	0.6531	0.4848	1.0	16	17	0
20	29	overall	human_decision_change_yes	wer	87	16	0.6967	42.59	0.4615	0.3913	0.5625	9	14	7
20	29	overall	human_decision_change_yes	cer	87	16	0.7223	16.42	0.459	0.3111	0.875	14	31	2
20	29	overall	human_decision_change_yes	sres_total	87	16	0.8961	270.0	0.6512	0.5185	0.875	14	13	2
20	29	overall	human_decision_change_yes	ceis_max	87	16	0.9129	5.0	0.64	0.4706	1.0	16	18	0
20	29	overall	human_decision_change_yes_or_uncertain	wer	87	16	0.6967	42.59	0.4615	0.3913	0.5625	9	14	7
20	29	overall	human_decision_change_yes_or_uncertain	cer	87	16	0.7223	16.42	0.459	0.3111	0.875	14	31	2
20	29	overall	human_decision_change_yes_or_uncertain	sres_total	87	16	0.8961	270.0	0.6512	0.5185	0.875	14	13	2
